Red Subset,Blue Subset,Sum,TimeFound
"(8381842, 2455118, 4890524, 8081143, 6192770, 1779814, 8546532, 8541011, 9356134, 3696206, 8534543, 4446344)","(9469287, 6712289, 5992875, 1425045, 8022348, 8224679, 9222657, 9323386, 5363473, 1728483, 7451212, 1966247)",74901981,1727822341.8191662
"(8381842, 4890524, 8081143, 8224679, 8541011, 8534543, 4446344, 7451212)","(9469287, 6712289, 4681945, 6483223, 1779814, 8546532, 7956588, 3696206, 1728483, 7496930)",58551298,1727823720.331555
"(4681945, 8022348, 6483223, 1779814, 8546532, 8224679, 8541011, 4446344, 7496930)","(9469287, 1271334, 8381842, 2455118, 6192770, 4443234, 9323386, 5363473, 9356134, 1966247)",58222826,1727825661.8825426
"(1271334, 2455118, 5992875, 4890524, 6483223, 8081143, 9356134, 7956588, 1728483, 7451212)","(9469287, 8381842, 4681945, 1779814, 4443234, 8224679, 9222657, 7496930, 1966247)",55666634,1727827035.00612
"(1271334, 6712289, 6483223, 8081143, 6192770, 9323386, 8541011, 3696206, 8534543, 1966247)","(2455118, 5992875, 4890524, 4681945, 8022348, 1779814, 4443234, 8224679, 5363473, 7451212, 7496930)",60802152,1727827628.6197724
"(6712289, 2455118, 4681945, 8081143, 6192770, 4443234, 5363473, 8541011, 9356134, 3696206, 1728483, 7451212, 1966247)","(1271334, 8381842, 5992875, 4890524, 8022348, 6483223, 8546532, 9222657, 9323386, 8534543)",70669265,1727828049.0097349
"(9469287, 1271334, 2455118, 4681945, 1779814, 4443234, 9222657, 9323386, 7956588, 3696206, 8534543, 1728483)","(8381842, 4890524, 1425045, 8022348, 6483223, 8081143, 8546532, 8224679, 8541011, 1966247)",64562595,1727829300.1476111
"(9469287, 8381842, 4681945, 6192770, 8224679, 9222657, 5363473, 9356134, 1966247)","(6712289, 2455118, 1425045, 8081143, 1779814, 8546532, 7956588, 3696206, 8534543, 4446344, 1728483, 7496930)",62859034,1727829371.9631903
"(6712289, 8381842, 4681945, 1779814, 4443234, 9323386, 8541011, 3696206, 7496930)","(9469287, 5992875, 1425045, 8022348, 6192770, 8546532, 7956588, 7451212)",55056657,1727830207.0431094
"(1271334, 8381842, 2455118, 8022348, 8081143, 9222657, 5363473, 9356134, 7956588, 8534543)","(9469287, 6712289, 5992875, 4890524, 4681945, 1779814, 4443234, 8224679, 8541011, 4446344, 7496930, 1966247)",68645180,1727831668.8734314
"(8381842, 4890524, 1425045, 6192770, 9222657, 9323386, 5363473, 8541011, 7956588, 8534543, 1966247)","(9469287, 6712289, 5992875, 4681945, 6483223, 8081143, 1779814, 8224679, 3696206, 1728483, 7451212, 7496930)",71798086,1727832219.2766187
"(1271334, 2455118, 6483223, 6192770, 8224679, 9222657, 9323386, 3696206, 7451212, 7496930, 1966247)","(9469287, 6712289, 5992875, 8022348, 1779814, 8546532, 5363473, 8541011, 9356134)",63783762,1727832258.1706617
"(6712289, 5992875, 4681945, 8081143, 6192770, 5363473, 9356134, 7956588, 4446344, 7451212)","(8381842, 8022348, 8546532, 9222657, 9323386, 8541011, 3696206, 8534543, 1966247)",66234773,1727833006.200017
"(9469287, 4890524, 1779814, 8224679, 9222657, 8541011, 7956588, 3696206, 8534543)","(8381842, 5992875, 8022348, 6483223, 8081143, 8546532, 9356134, 7451212)",62315309,1727833324.1983688
"(6192770, 9323386, 9356134, 7956588, 3696206, 8534543, 4446344, 1966247)","(8381842, 2455118, 4890524, 1425045, 8022348, 6483223, 8081143, 1779814, 8224679, 1728483)",51472218,1727834599.6262724
"(9469287, 6712289, 4890524, 1425045, 6192770, 8541011, 9356134, 1728483, 7496930, 1966247)","(1271334, 2455118, 6483223, 8081143, 8224679, 9222657, 5363473, 3696206, 8534543, 4446344)",57778720,1727834702.9178867
