Red Subset,Blue Subset,Sum
"(1271334, 8381842, 5992875, 8022348, 8081143, 6192770, 4443234, 5363473, 9356134, 3696206, 8534543)","(9469287, 2455118, 4681945, 1779814, 8224679, 9222657, 9323386, 8541011, 4446344, 1728483, 7496930, 1966247)",69335902
"(1271334, 5992875, 4890524, 4681945, 8081143, 6192770, 8546532, 9356134, 7496930, 1966247)","(9469287, 6712289, 8381842, 2455118, 1779814, 8224679, 9222657, 3696206, 8534543)",58476434
"(9469287, 2455118, 4681945, 1779814, 4443234, 8541011, 8534543, 1728483, 7451212)","(6712289, 5992875, 4890524, 8546532, 9323386, 7956588, 3696206, 1966247)",49084647
"(9469287, 8381842, 2455118, 5992875, 8224679, 9222657, 5363473, 9356134, 8534543, 7451212)","(6712289, 4890524, 4681945, 8022348, 6483223, 6192770, 1779814, 4443234, 9323386, 8541011, 7956588, 3696206, 1728483)",74451820
"(9469287, 1271334, 8381842, 4681945, 8224679, 8541011, 1728483, 7451212, 7496930, 1966247)","(6712289, 4890524, 1425045, 1779814, 8546532, 9222657, 9323386, 9356134, 7956588)",59212970
"(1271334, 6712289, 8381842, 2455118, 4681945, 6483223, 6192770, 9323386, 5363473, 7956588, 8534543, 1728483, 7496930)","(9469287, 8022348, 8081143, 4443234, 8546532, 8224679, 8541011, 9356134, 4446344, 7451212)",76581924
"(1271334, 5992875, 4443234, 8224679, 9222657, 9356134, 7956588, 3696206, 1728483, 7451212, 7496930, 1966247)","(9469287, 8381842, 4681945, 8022348, 6483223, 8546532, 9323386, 5363473, 8534543)",68806579
"(1271334, 6712289, 6483223, 1779814, 9323386, 9356134, 3696206, 8534543, 1966247)","(1425045, 4443234, 8546532, 8224679, 9222657, 5363473, 4446344, 7451212)",49123176
"(6712289, 8381842, 8022348, 1779814, 9222657, 5363473, 7956588, 3696206, 1728483, 7451212, 1966247)","(9469287, 1271334, 2455118, 5992875, 8081143, 4443234, 8224679, 8541011, 9356134, 4446344)",62281159
"(9469287, 1271334, 8381842, 2455118, 5992875, 1425045, 1779814, 4443234, 8224679, 5363473, 8541011, 4446344, 1728483)","(6712289, 4890524, 4681945, 8081143, 9222657, 9323386, 3696206, 7451212, 7496930, 1966247)",63522539
"(1271334, 2455118, 5992875, 6192770, 1779814, 8546532, 8224679, 7956588, 4446344, 7496930, 1966247)","(8381842, 4890524, 1425045, 6483223, 4443234, 5363473, 9356134, 8534543, 7451212)",56329231
